Application_ID,Application_Date,Age,Marital_Status,Education,Employment_Type,Employment_Years,Annual_Income,Credit_Score,Existing_Debt,Loan_Amount,Loan_Term,Home_Ownership,Previous_Default,Loan_Approved
APP10888,2025-11-20,37.0,Single,Bachelor,Contract,7.0,27300.0,724.0,11600.0,8000.0,48 months,Rent,No,Yes
APP10244,2025-03-28,59.0,Married,Bachelor,Salaried,13.0,51600.0,728.0,24100.0,16500.0,36 months,Mortgage,No,Yes
APP10662,2025-08-25,39.0,Single,High School,Self-Employed  ,3.0,59300.0,648.0,18700.0,62500.0,60 months,Own,No,No
APP10646,2025-08-18,49.0,Married,High School,self-employed,9.0,54500.0,647.0,11500.0,38500.0,24 months, Mortgage,No,No
APP10424,2025-05-24,42.0,Married,Master,Salaried,5.0,54700.0,746.0,30700.0,10500.0,48 months,MORTGAGE,No,Yes
APP10288,2025-04-08,50.0,Married,High School,Self-Employed,12.0,38000.0,622.0,11000.0,7000.0,36 months,Own,No,No
APP10754,2025-09-29,28.0,Married,,Contract,3.0,23500.0,577.0,3500.0,8000.0,12 months,Rent,No,Yes
APP10189,2025-03-12,35.0,Single,High School,Salaried,4.0,41800.0,814.0,19900.0,12000.0,60 months,Rent,No,Yes
APP10691,2025-09-03,39.0, married ,Doctorate,Self-Employed,7.0,46500.0,771.0,5200.0,23000.0,60 months,Rent,No,Yes
APP10935,2025-12-10,44.0,Single,Master,Salaried,7.0,39900.0,647.0,10600.0,21500.0,36 months,Own,Yes,No
APP10793,2025-10-13,44.0,Married,Master,Self-Employed,8.0,102100.0,734.0,33900.0,89000.0,36 months,Own,No,Yes
APP10165,2025-03-01,36.0,Single,Bachelor,salaried,5.0,,708.0,5600.0,7000.0,36 months,Mortgage,No,Yes
APP10998,2025-12-31,21.0,Single,High School,Salaried,,47900.0,738.0,15600.0,26000.0,24 months,Own,No,Yes
APP10577,2025-07-23,49.0,Married,Bachelor,Salaried,13.0,38400.0,617.0,13900.0,44500.0,12 months,Rent  ,No,No
APP10845,2025-10-31,33.0,Divorced,Bachelor,Contract,8.0,21200.0,657.0,7100.0,7000.0,24 months,Mortgage,Yes,No
APP10697,2025-09-06,21.0,Single,Master,Contract,1.0,39600.0,676.0,7200.0,12500.0,36 months,Mortgage,No,Yes
APP10248,2025-03-29,49.0,Married,Bachelor,Salaried,17.0,36100.0,679.0,8800.0,7000.0,36 months,Rent,No,Yes
APP10859,2025-11-05,50.0,Married,High School,Salaried,18.0,47400.0,723.0,13300.0,22000.0,36 months,Rent,No,Yes
APP10776,2025-10-08,48.0,Married,Bachelor,Salaried,4.0,42900.0,682.0,6600.0,17500.0,36 months,Mortgage,No,Yes
APP10009,2025-01-05,24.0,Married,Bachelor,Self-Employed,3.0,57200.0,735.0,9800.0,14000.0,12 months,Own,No,Yes
APP10760,2025-10-01,45.0,Single,BACHELOR,Contract,14.0,28700.0,,14600.0,8500.0,36 months,Rent,No,Yes
APP10075,2025-01-28,30.0,Married,Bachelor,Self-Employed  ,3.0,55000.0,666.0,33800.0,22500.0,36 months,Rent,No,No
APP10867,2025-11-08,29.0,Married, High School,Salaried,3.0,41900.0,631.0,29000.0,26500.0,48 months,Rent,No,No
APP10141,2025-02-20,41.0,Married,High School,Self-Employed,9.0,61500.0,538.0,26200.0,13500.0,12 months,Rent,Yes,No
APP10947,2025-12-15,51.0,Married,Master,Contract,11.0,51900.0,718.0,0.0,25500.0,24 months,Rent,No,Yes
APP10471,2025-06-11,37.0,Single,Bachelor,Contract,,,741.0,12800.0,9000.0,60 months,mortgage,No,Yes
APP10324,2025-04-19,56.0,Married,High School,Self-Employed,2.0,26100.0,622.0,7300.0,7000.0,36 months,Mortgage,No,Yes
APP10854,2025-11-02,21.0,Divorced,Doctorate,Salaried,1.0,57000.0,752.0,16200.0,12000.0,12 months,Rent,No,Yes
APP10945,2025-12-15,38.0,Single  ,Bachelor  , salaried ,8.0,37900.0,,8400.0,10500.0,36 months,Rent,No,No
APP10101,2025-02-08,39.0,Married,High School,Salaried,2.0,29100.0,598.0,0.0,8500.0,60 months,Rent,No,Yes
APP10666,2025-08-25,39.0,Divorced,High School,Salaried,10.0,35800.0,653.0,9500.0,15000.0,36 months,Own,No,Yes
APP10702,2025-09-07,27.0, Single,Bachelor,Salaried,5.0,44400.0,594.0,8600.0,8000.0,24 months,Mortgage,No,Yes
APP10295,2025-04-10,45.0,married,Bachelor  ,Salaried,15.0,51900.0,761.0,5600.0,8000.0,36 months,Own,No,Yes
APP10390,2025-05-12,27.0,Divorced,Bachelor,Self-Employed,1.0,71700.0,634.0,9700.0,22000.0,12 months, rent ,No,No
APP10355,2025-04-30,21.0,Single,Bachelor  ,Contract,0.0,13600.0,587.0,2600.0,6000.0,36 months,Rent,No,No
APP10924,2025-12-07,46.0, married ,High School,Self-Employed,5.0,281900.0,701.0,105700.0,90500.0,48 months,Rent,No,No
APP10922,2025-12-06,56.0,Single,Bachelor,Salaried,19.0,35100.0,765.0,6100.0,13500.0,48 months,RENT,No,Yes
APP11000,2025-12-31,41.0,Single,Bachelor,Salaried,3.0,36400.0,628.0,6600.0,25500.0,36 months,Own,No,Yes
APP10664,2025-08-25,44.0,Divorced,High School,Contract,11.0,37800.0,768.0,10700.0,14000.0,36 months,Rent,No,No
APP10556,2025-07-15,33.0,Married,Master,Salaried,7.0,53400.0,686.0,5100.0,12000.0,24 months,Rent,No,Yes
APP10306,2025-04-12,41.0,Married,High School,Self-Employed,7.0,33600.0,638.0,8700.0,5500.0,60 months,Mortgage,No,Yes
APP10239,2025-03-25,39.0,Single,Doctorate,Self-Employed,12.0,47900.0,563.0,14200.0,11500.0,60 months,Own,Yes,No
APP10503,2025-06-24,21.0,Single,High School,Salaried,0.0,33000.0,634.0,4400.0,14500.0,24 months,Mortgage,No,Yes
APP10905,2025-11-30,53.0,Married,Master,Salaried,21.0,69600.0,608.0,32400.0,17000.0,60 months, own ,Yes,No
APP10251,2025-03-30,42.0,Married,High School,Salaried,3.0,19100.0,689.0,11100.0,5000.0,60 months,Own,No,Yes
APP10597,2025-07-30,41.0,Married,High School,Salaried,12.0,44600.0,694.0,12000.0,11000.0,12 months,Own,No,Yes
APP10709,2025-09-09,28.0,Single,Bachelor,Salaried,2.0,29700.0,646.0,9100.0,10000.0,60 months,Own,No,No
APP10853,2025-11-02,35.0,Married,Bachelor,Salaried  ,7.0,80900.0,782.0,5000.0,30500.0,60 months, rent ,No,Yes
APP10490,2025-06-19,31.0,Single,High School,Salaried,6.0,33000.0,696.0,4000.0,17500.0,48 months,Rent,No,No
APP10882,2025-11-16,44.0, Married,Bachelor,Salaried,13.0,51900.0,550.0,31100.0,43000.0,24 months,Rent,No,No
APP10425,2025-05-24,37.0,Married,Doctorate,Self-Employed,3.0,90000.0,681.0,10900.0,37000.0,60 months,Rent,No,Yes
APP10902,2025-11-28,40.0,Single,High School,Salaried,3.0,25400.0,669.0,10000.0,11000.0,60 months,Mortgage,No,No
APP10164,2025-03-01,54.0, Married,Bachelor,Salaried,12.0,43300.0,687.0,9100.0,16000.0,36 months,Mortgage,No,No
APP10045,2025-01-19,49.0,married,High School, salaried ,9.0,32900.0,761.0,3300.0,9000.0,48 months,Rent,No,Yes
APP10026,2025-01-12,45.0,Married,master,Salaried,4.0,48600.0,675.0,6100.0,22000.0,36 months, own ,No,Yes
APP10887,2025-11-19,46.0,Married,Bachelor,Salaried,12.0,47900.0,639.0,22600.0,11500.0,60 months,Own,No,No
APP10177,2025-03-06,21.0,Single,High School,Salaried,1.0,,775.0,2500.0,9500.0,24 months,Rent,No,Yes
APP10473,2025-06-11,31.0, single ,BACHELOR,Salaried,7.0,88800.0,,8900.0,24000.0,24 months,Rent,No,Yes
APP10359,2025-05-02,40.0,Married,,Salaried,15.0,69900.0,700.0,0.0,17000.0,36 months,Rent,No,Yes
APP10559,2025-07-15,37.0,Single,Bachelor,Salaried,12.0,75500.0,566.0,21900.0,15000.0,12 months,Rent,Yes,No
APP10293,2025-04-09,28.0,Married,High School,,3.0,,618.0,0.0,11500.0,48 months,Rent,Yes,No
APP10563,2025-07-16,44.0,Married,Master,Self-Employed,10.0,116300.0,654.0,54600.0,29500.0,48 months,Own,No,Yes
APP10016,2025-01-07,28.0,Single,High School,Salaried,,25500.0,735.0,14000.0,19500.0,36 months,Rent,No,No
APP10894,2025-11-23,37.0,Divorced,Doctorate,Salaried,3.0,65100.0,561.0,12500.0,65500.0,36 months,Rent,No,No
APP10770,2025-10-05,41.0,Single,,Salaried,13.0,77700.0,726.0,31700.0,23000.0,24 months,Mortgage,No,Yes
APP10549,2025-07-11,33.0,Married,Bachelor,Salaried,4.0,37400.0,650.0,0.0,13500.0,12 months,Rent,Yes,Yes
APP10243,2025-03-28,35.0,Single,Doctorate,Contract,10.0,,850.0,35200.0,35000.0,36 months,Own,No,Yes
APP10900,2025-11-27,45.0,DIVORCED,Bachelor,Self-Employed,10.0,85800.0,776.0,28400.0,30000.0,36 months,Mortgage,No,Yes
APP10841,2025-10-30,40.0,Married,Bachelor,Salaried,15.0,81900.0,715.0,24600.0,16000.0,24 months,Mortgage,No,Yes
APP10991,2025-12-30,40.0,Married,Bachelor,Salaried,8.0,63700.0,825.0,2800.0,9500.0,24 months,Own,No,Yes
APP10660,2025-08-24,49.0,DIVORCED,Bachelor,Salaried,14.0,35600.0,718.0,0.0,9000.0,24 months,Own,No,Yes
APP10265,2025-04-01,36.0,Married,,contract,11.0,38900.0,745.0,20300.0,4000.0,60 months,Rent,No,Yes
APP10453,2025-06-05,60.0, married ,High School,Contract,15.0,39700.0,721.0,17200.0,16500.0,48 months,Mortgage,No,Yes
APP10057,2025-01-22,31.0,Single,High School,Salaried,6.0,48600.0,617.0,10600.0,15500.0,24 months,Mortgage,Yes,No
APP10119,2025-02-13,54.0,Married,High School,Self-Employed,14.0,30700.0,722.0,8600.0,9000.0,60 months,OWN,No,Yes
APP10513,2025-06-27,46.0,Married,,Salaried,17.0,74400.0,712.0,3700.0,12000.0,36 months,Own,No,Yes
APP10600,2025-07-31,52.0,Married,Bachelor,Self-Employed,4.0,41000.0,595.0,7600.0,7500.0,36 months,Own,No,No
APP10031,2025-01-14,36.0,Married,Bachelor,Salaried,,48300.0,649.0,9800.0,14500.0,60 months,Own,No,Yes
APP10670,2025-08-26,21.0,Married,Master,Salaried,1.0,50700.0,737.0,5600.0,13500.0,60 months,Mortgage,No,Yes
APP10373,2025-05-06,32.0,SINGLE,Bachelor,Salaried,10.0,49500.0,754.0,1100.0,11000.0,12 months,Mortgage,No,Yes
APP10118,2025-02-13,21.0,single,Bachelor,Salaried,1.0,44800.0,728.0,5900.0,11000.0,60 months,Rent,No,Yes
APP10553,2025-07-12,50.0,Married,Doctorate,Salaried,4.0,164000.0,725.0,106300.0,94000.0,48 months,Own,No,No
APP10431,2025-05-27,34.0, married ,High School,Salaried,8.0,22400.0,699.0,9600.0,13000.0,60 months,Rent,No,No
APP10378,2025-05-08,36.0,Married,Master,,8.0,63000.0,656.0,36400.0,20500.0,36 months,Rent,No,No
APP10454,2025-06-05,23.0,Single,Bachelor,Salaried,1.0,69000.0,625.0,24800.0,28500.0,48 months,Rent,No,No
APP10145,2025-02-21,33.0,Single,High School,Salaried,5.0,16600.0,727.0,4600.0,9500.0,48 months,Rent,No,Yes
APP10286,2025-04-07,42.0,Married,High School,Salaried,,68800.0,,27500.0,13500.0,60 months,Rent,No,Yes
APP10525,2025-07-04,41.0,Single, High School,Salaried,17.0,,583.0,13200.0,25500.0,60 months,Mortgage,Yes,No
APP10401,2025-05-15,57.0, Married,High School,Contract,9.0,51900.0,799.0,12100.0,15000.0,12 months,Mortgage,No,Yes
APP10560,2025-07-15,51.0,Married,Bachelor,Salaried,17.0,88500.0,730.0,16800.0,40500.0,48 months,Mortgage,No,Yes
APP10724,2025-09-19,52.0,Married,Bachelor, Self-Employed,7.0,27300.0,,0.0,5500.0,12 months,Own,No,Yes
APP10129,2025-02-16,46.0,Married,,Salaried,20.0,79400.0,653.0,36600.0,70500.0,36 months,Own,No,No
APP10049,2025-01-20,28.0,Single,Bachelor,Salaried,1.0,39500.0,708.0,2000.0,23000.0,36 months,Own,No,Yes
APP10520,2025-07-02,33.0,Single,Bachelor,Self-Employed,8.0,58300.0,750.0,3900.0,4500.0,12 months,Own,Yes,Yes
APP10121,2025-02-14,34.0,Divorced,High School, self-employed ,8.0,18800.0,720.0,4600.0,6000.0,12 months,Rent,No,Yes
APP10394,2025-05-13,41.0,Married,Master,,9.0,46100.0,709.0,8500.0,12000.0,48 months, Mortgage,No,No
APP10134,2025-02-18,25.0,Single,Bachelor,Contract,3.0,31700.0,714.0,2700.0,11500.0,36 months,Rent,No,No
APP10949,2025-12-16,32.0,Single,High School,Contract,5.0,29700.0,624.0,0.0,14500.0,36 months,Rent,No,No
APP10892,2025-11-23,36.0,Married,High School,Salaried,4.0,28100.0,687.0,900.0,8500.0,60 months,Own,No,Yes
APP10915,2025-12-03,44.0,Married,High School,Self-Employed,13.0,36300.0,623.0,11200.0,10500.0,24 months,own,No,No
APP10322,2025-04-18,51.0,Married,High School,Salaried,13.0,48500.0,763.0,34000.0,8000.0,48 months,Mortgage,No,No
APP10034,2025-01-16,54.0,Married, Bachelor,Salaried,23.0,96300.0,755.0,34100.0,36500.0,36 months,Rent,No,Yes
APP10980,2025-12-27,33.0,Single,High School,Salaried,6.0,27900.0,637.0,5000.0,11000.0,24 months,Rent,Yes,No
APP10029,2025-01-13,28.0,Single,,Salaried,4.0,20200.0,,6000.0,7000.0,36 months,Rent,No,Yes
APP10874,2025-11-10,55.0,Married,Bachelor,Salaried,17.0,37900.0,741.0,21000.0,10500.0,60 months,Mortgage,No,Yes
APP10746,2025-09-26,32.0,Single,Bachelor,Salaried,5.0,50700.0,729.0,32600.0,15000.0,60 months,Mortgage,No,Yes
APP10002,2025-01-02,45.0,Married,Master,Salaried,8.0,40400.0,625.0,18500.0,8000.0,36 months,Own,No,No
APP10678,2025-08-29,26.0,Single,Master,Contract,2.0,77300.0,753.0,5100.0,25500.0,48 months,MORTGAGE,No,Yes
APP10748,2025-09-27,35.0,Married,Master,Contract,9.0,64300.0,686.0,27800.0,14500.0,24 months,Own,No,Yes
APP10488,2025-06-17,25.0,Divorced,Bachelor,Self-Employed,2.0,31500.0,708.0,16700.0,15500.0,24 months,Own,No,No
APP10541,2025-07-09,43.0,Married,High School,Contract,5.0,28100.0,635.0,2800.0,10500.0,36 months,Rent,No,No
APP10957,2025-12-17,54.0,Single,Master,Salaried  ,13.0,43400.0,673.0,9100.0,27500.0,36 months,Mortgage,No,Yes
APP10393,2025-05-13,35.0,Married,Doctorate,Self-Employed,3.0,45800.0,770.0,0.0,23000.0,36 months,Rent,No,Yes
APP10533,2025-07-07,29.0,Single,High School,CONTRACT,4.0,15000.0,677.0,9400.0,5500.0,36 months, mortgage ,No,No
APP10229,2025-03-22,52.0,Married,master,Salaried,,44700.0,797.0,17000.0,26000.0,12 months,Mortgage,No,Yes
APP10868,2025-11-08,25.0,Single,Doctorate,Contract,3.0,55500.0,567.0,30900.0,16000.0,36 months,Rent,No,No
APP10032,2025-01-14,44.0,Married,Bachelor,Salaried,15.0,72800.0,,15300.0,8000.0,12 months, own ,No,Yes
APP10890,2025-11-20,38.0,Married,High School,Salaried,4.0,22800.0,796.0,0.0,12000.0,12 months,Rent,No,Yes
APP10558,2025-07-15,44.0,Single,High School,Salaried,6.0,42300.0,660.0,2300.0,14000.0,36 months,Rent,No,Yes
APP10986,2025-12-28,42.0,Married, bachelor ,Self-Employed,4.0,73900.0,691.0,11000.0,10500.0,12 months,Mortgage,No,Yes
APP10099,2025-02-08,21.0,Single, Doctorate,salaried,0.0,94400.0,640.0,15500.0,32000.0,36 months,Mortgage,No,Yes
APP10235,2025-03-24,47.0,Married,High School,Self-Employed,8.0,113500.0,674.0,17300.0,49500.0,48 months,Rent,No,Yes
APP10184,2025-03-09,44.0,Married,Master,Salaried,16.0,65100.0,659.0,8800.0,47000.0,24 months,Rent,No,Yes
APP10634,2025-08-15,,Married,High School,Salaried,10.0,48400.0,,6800.0,29500.0,60 months,Rent,No,Yes
APP10084,2025-01-30,34.0,Married,Bachelor,Salaried,5.0,24400.0,623.0,2400.0,11000.0,12 months,RENT,Yes,No
APP10132,2025-02-18,40.0,Divorced,High School,Self-Employed  ,8.0,21700.0,713.0,7600.0,3500.0,60 months,Mortgage,No,Yes
APP10166,2025-03-01,30.0,divorced,High School,,3.0,41700.0,692.0,11200.0,27500.0,60 months,Rent,No,No
APP10849,2025-11-02,48.0,Married,High School,Self-Employed,10.0,35000.0,593.0,0.0,13500.0,48 months,Rent,No,Yes
APP10942,2025-12-13,50.0,Single,Bachelor,salaried,17.0,33800.0,776.0,8000.0,50500.0,12 months,rent,No,No
APP10430,2025-05-26,35.0,Married,Master,Self-Employed,1.0,40700.0,529.0,13500.0,11000.0,24 months,Mortgage,No,No
APP10217,2025-03-19,36.0,Married,High School,Salaried,3.0,17800.0,633.0,7800.0,5500.0,60 months,Rent,No,Yes
APP10107,2025-02-10,36.0,Single,Bachelor,,7.0,65200.0,720.0,0.0,39500.0,48 months,Rent,No,No
APP10463,2025-06-09,54.0,Divorced,Master,Salaried,6.0,91600.0,725.0,25600.0,23500.0,12 months,Own,No,Yes
APP10468,2025-06-09,36.0,Married,High School, salaried ,8.0,40600.0,640.0,0.0,32000.0,60 months,Rent,No,Yes
APP10440,2025-05-30,29.0,Married,Bachelor,Self-Employed,2.0,37100.0,665.0,6400.0,48000.0,48 months,Rent,No,No
APP10954,2025-12-17,42.0,Married,Bachelor,Salaried,10.0,98600.0,646.0,9100.0,45500.0,12 months,rent,No,Yes
APP10727,2025-09-21,40.0,Married,Master,Salaried,16.0,29900.0,593.0,11200.0,11500.0,48 months,Rent,Yes,No
APP10014,2025-01-07,31.0,Single,High School,Salaried,6.0,39700.0,673.0,18800.0,7000.0,24 months,Rent,No,No
APP10231,2025-03-23,21.0,Single,Master,Salaried,0.0,46400.0,750.0,7200.0,22500.0,36 months,Rent,No,Yes
APP10839,2025-10-29,31.0,Divorced,Bachelor,Salaried,0.0,28200.0,533.0,6400.0,9000.0,12 months,Rent,No,No
APP10234,2025-03-24,43.0,Divorced,Master,contract,8.0,41800.0,698.0,15800.0,10000.0,48 months,own,No,Yes
APP10152,2025-02-24,47.0,Married,High School,Salaried  ,7.0,21400.0,690.0,6600.0,5500.0,24 months,Mortgage,No,Yes
APP10688,2025-09-02,41.0,Married,Bachelor,,3.0,,713.0,0.0,34000.0,24 months,Rent,No,Yes
APP10827,2025-10-26,46.0,Married,Bachelor,Self-Employed,9.0,,587.0,4200.0,19000.0,60 months,Own,Yes,No
APP10837,2025-10-29,29.0,Divorced,High School,Salaried,4.0,42100.0,763.0,15500.0,47000.0,36 months,Rent,No,No
APP10448,2025-06-03,41.0,Married,Bachelor, Salaried,11.0,34100.0,720.0,0.0,9500.0,36 months,Own,No,Yes
APP10493,2025-06-20,32.0,Single,Bachelor,Salaried,8.0,36400.0,646.0,13700.0,6000.0,12 months,Mortgage,Yes,No
APP10933,2025-12-10,33.0,Married,High School,Self-Employed,3.0,28900.0,724.0,10300.0,13000.0,36 months,Mortgage,No,Yes
APP10495,2025-06-21,28.0,Single,High School,Self-Employed,4.0,28500.0,700.0,17000.0,17500.0,36 months,Mortgage,Yes,No
APP10332,2025-04-22,33.0,Married,Master,Self-Employed,3.0,27000.0,620.0,2500.0,18000.0,48 months,Rent,No,No
APP10613,2025-08-06,30.0,Single,Master,Salaried,7.0,41700.0,615.0,11000.0,16500.0,60 months,Rent,No,Yes
APP10825,2025-10-26,49.0, Married,BACHELOR,Self-Employed,12.0,60100.0,653.0,8700.0,27000.0,24 months,Own,No,Yes
APP10675,2025-08-28,36.0,Married,High School,Salaried,2.0,33700.0,695.0,3300.0,12000.0,48 months,Mortgage,No,Yes
APP10692,2025-09-04,50.0,Married,Master,Salaried,24.0,58900.0,820.0,10900.0,26000.0,12 months,Rent,No,Yes
APP10103,2025-02-09,26.0,Single,Doctorate,Self-Employed,4.0,,660.0,0.0,15500.0,36 months,Rent,No,Yes
APP10742,2025-09-25,31.0, Single,Bachelor,Self-Employed,3.0,18500.0,638.0,3000.0,5000.0,36 months,Rent,No,Yes
APP10973,2025-12-25,25.0,Single,Master,Salaried,3.0,36800.0,771.0,7700.0,16000.0,36 months,Mortgage,No,Yes
APP10710,2025-09-09,55.0,Married,High School,Self-Employed,20.0,49600.0,733.0,12800.0,25500.0,36 months,OWN,No,Yes
APP10093,2025-02-03,49.0,Married,Bachelor,Salaried,5.0,,688.0,5100.0,14000.0,24 months,Rent,No,Yes
APP10528,2025-07-04,21.0,Single,High School,Self-Employed,0.0,21800.0,711.0,11200.0,8000.0,12 months,Mortgage,No,No
APP10732,2025-09-22,45.0,Married,Doctorate, Self-Employed,,136900.0,649.0,0.0,73000.0,60 months,Rent,No,Yes
APP10106,2025-02-10,21.0,Single,Bachelor,Salaried,0.0,56800.0,745.0,20400.0,16500.0,36 months,Mortgage,No,Yes
APP10809,2025-10-21,30.0, divorced ,Bachelor, salaried ,6.0,43000.0,707.0,17900.0,23500.0,60 months,Rent,No,No
APP10689,2025-09-02,28.0,Married,High School,Self-Employed,4.0,23500.0,793.0,13800.0,6000.0,48 months, rent ,No,Yes
APP10767,2025-10-04,43.0,Married,Bachelor, Salaried,15.0,,575.0,0.0,7000.0,48 months,Rent,No,No
APP10346,2025-04-27,25.0,Single,Bachelor,Salaried,1.0,38700.0,608.0,10300.0,15000.0,48 months,Own,No,No
APP10490,2025-06-19,31.0,Single,High School,Salaried,6.0,33000.0,696.0,4000.0,17500.0,48 months,Rent,No,No
APP10109,2025-02-10,47.0,Married,Bachelor,Self-Employed,12.0,39300.0,700.0,7200.0,13000.0,60 months,Own,No,Yes
APP10076,2025-01-29,40.0,Single,High School,Salaried,4.0,41200.0,725.0,7000.0,12000.0,60 months,Mortgage,No,Yes
APP10925,2025-12-07,40.0,Married,Bachelor,Salaried,5.0,38400.0,616.0,18700.0,28000.0,60 months,Rent,Yes,No
APP10784,2025-10-11,42.0,Single,Bachelor,Contract,9.0,17000.0,681.0,3500.0,15000.0,36 months,Mortgage,No,No
APP10098,2025-02-07,43.0,Divorced,,Salaried,7.0,49600.0,723.0,10400.0,15500.0,48 months,Own,No,Yes
APP10414,2025-05-19,35.0,Married  ,Bachelor,Self-Employed,3.0,66400.0,682.0,0.0,21000.0,60 months,Mortgage,No,Yes
APP10222,2025-03-21,37.0,Single,High School,Self-Employed,7.0,34500.0,565.0,13300.0,6500.0,36 months, Rent,No,No
APP10071,2025-01-28,49.0,Single,Bachelor,Salaried,15.0,46700.0,999.0,9200.0,15500.0,36 months,Mortgage,No,Yes
APP10331,2025-04-22,26.0,Single,BACHELOR,Contract,1.0,35300.0,677.0,5200.0,17500.0,12 months,Rent  ,No,No
APP10792,2025-10-13,34.0,Divorced  ,Master,Self-Employed,3.0,46900.0,645.0,0.0,32000.0,12 months, Rent,No,Yes
